# Temporary Swift test prints (the prints themselves were never committed), one `<record>|<key>|<json>` line per observation,
# doubles at %.17g. Regenerate: add the prints, `swift test --filter OCCTShapeHealingTests`, keep the EVID| lines.
T149|fail8|17
T150|done.legacy|true
T150|done.typed|true
T150|fail.legacy|false
T150|fail.typed|false
T150|ok.legacy|false
T150|ok.typed|false
T151|status0|false
T151|status18|false
T151|status4|false
T151|status9|false
T152|nilLookInside|-1
T152|nilTopLevel|-1
T153|decodesToUnknown|true
T153|decodesToVertex|false
T153|raw|-1
T154|boxIsSolid|true
T154|vertexIsVertex|true
T155|verdictFalse|1
T155|verdictNil|0
T155|verdictTrue|1
T155|wires|2
T156|verdict|false
T157|canDivide|[true, false, true]
T157|edges|3
